German (de);Positive;Negative;Zorn;Erwartung;Ekel;Furcht;Freude;Traurigkeit;Überraschung;Vertrauen;
Loyalität;1;0;0;0;0;0;0;0;0;1;
lüftet;0;1;0;0;1;0;0;0;0;0;
Lüge;0;1;1;0;0;0;0;0;0;1;
Lüge;0;1;1;0;1;0;0;1;0;0;
Lügner;0;1;0;0;1;0;0;0;0;0;
lumbering;0;1;0;0;0;0;0;0;0;0;
lümmeln;0;1;0;0;0;0;0;0;0;0;
Lumpen;0;1;0;0;1;0;0;0;0;0;
Lungenentzündung;0;1;0;0;0;1;0;0;0;0;
Lust;0;1;0;1;0;0;0;0;0;0;
Lüster;1;0;0;0;0;0;1;0;0;0;
lustig;1;0;0;0;0;0;1;0;0;0;
lustlos;0;1;0;0;0;0;0;1;0;0;
lustvoll;1;0;0;1;0;1;0;0;0;0;
luxuriös;1;0;0;0;0;0;1;0;0;0;
Luxus;1;0;0;0;0;0;1;0;0;0;
lynchen;0;1;1;0;1;1;0;1;0;0;
lyrisch;1;0;0;0;0;0;1;0;0;0;
machen;1;0;0;0;0;0;0;0;0;0;
Macher;1;0;0;0;0;0;0;0;0;0;
Macht;0;1;1;0;0;1;0;0;0;0;
mächtig;1;0;1;0;0;1;1;0;0;1;
mächtig;1;0;1;1;1;1;1;0;0;1;
machtlos;0;1;1;0;1;1;0;1;0;0;
Mädchen;1;0;0;0;0;0;0;0;0;0;
Made;0;1;0;0;1;0;0;0;0;0;
Mafia;0;1;0;0;0;1;0;0;0;0;
Magier;0;0;0;0;0;1;0;0;0;0;
Magier;1;0;0;1;0;0;0;0;1;0;
magisch;1;0;0;1;0;0;1;0;1;0;
Magnet;1;0;0;0;0;0;0;0;0;1;
Magnetismus;1;0;0;0;0;0;0;0;0;0;
Magnetit;1;0;0;0;0;0;0;0;0;0;
Mahlen;0;1;0;0;0;0;0;0;0;0;
Mahlgut;1;0;0;0;0;0;0;0;0;0;
Main;1;0;0;0;0;0;0;0;0;0;
Majestät;1;0;0;0;0;0;0;0;0;1;
majestätisch;1;0;0;1;0;0;1;0;1;1;
Makel;0;1;1;0;1;1;0;1;0;0;
makellos;1;0;0;0;0;0;0;0;0;1;
makellos;1;0;0;0;0;0;1;0;0;1;
Malaria;0;1;0;0;1;1;0;1;0;0;
malerisch;1;0;0;0;0;0;1;0;0;0;
maligne;0;1;1;0;0;1;0;0;0;0;
Malignität;0;1;0;0;0;1;0;1;0;0;
Mama;0;0;0;0;0;0;0;0;0;1;
Mama;0;1;0;0;0;1;0;0;0;0;
Management;1;0;0;0;0;0;0;0;0;1;
Mandamus;0;1;0;0;0;1;0;0;0;0;
Mandarin;1;0;0;0;0;0;0;0;0;1;
Mangel;0;1;1;0;0;1;0;1;0;0;
Manie;0;1;0;0;0;0;0;0;0;0;
manieriert;1;0;0;0;0;0;0;0;0;0;
Manifestation;0;0;0;0;0;1;0;0;0;0;
manifestiert;1;0;0;0;0;0;0;0;0;0;
Manipulation;0;1;1;0;0;1;0;0;0;0;
manipulieren;0;1;0;0;0;0;0;0;0;0;
Manna;1;0;0;0;0;0;0;0;0;0;
männlich;1;0;0;0;0;0;0;0;0;0;
männlich;1;0;0;0;0;0;0;0;0;0;
Männlichkeit;1;0;0;0;0;0;0;0;0;0;
Mannschaft;0;0;0;0;0;0;0;0;0;1;
Marine;0;0;0;0;0;0;0;0;0;1;
Mark;1;0;0;0;0;0;0;0;0;1;
Mark;1;0;0;0;0;0;1;0;0;1;
markant;1;0;0;0;0;0;0;0;0;0;
markiert;1;0;0;0;0;0;0;0;0;0;
marktfähig;1;0;0;0;0;0;0;0;0;0;
Marmelade;1;0;0;0;0;0;0;0;0;0;
Marquis;1;0;0;0;0;0;0;0;0;0;
Marschall;1;0;0;0;0;0;0;0;0;1;
Martingal;0;1;0;0;0;0;0;0;0;0;
Märtyrer;0;1;0;0;0;1;0;1;0;0;
Martyrium;0;1;0;0;0;1;0;1;0;0;
März;1;0;0;0;0;0;0;0;0;0;
Maschine;0;0;0;0;0;0;0;0;0;1;
Masern;0;1;0;0;1;1;0;1;0;0;
Masochismus;0;1;1;0;1;1;0;0;0;0;
Massage;1;0;0;0;0;0;1;0;0;0;
Massaker;0;1;1;0;1;1;0;1;0;0;
massenweise;1;0;0;0;0;0;0;0;0;0;
maßgeblich;1;0;0;0;0;0;0;0;0;1;
mäßig;1;0;0;0;0;0;0;0;0;0;
Mäßigkeit;1;0;0;0;0;0;0;0;0;0;
Materialismus;0;1;0;0;0;0;0;0;0;0;
Materialist;0;1;0;0;1;0;0;0;0;0;
mathematisch;0;0;0;0;0;0;0;0;0;1;
Matrone;1;0;0;0;0;0;0;0;0;1;
Matsch;0;1;0;0;1;0;0;0;1;0;
matt;0;1;0;0;0;0;0;0;0;0;
Maultier;0;1;1;0;0;0;0;0;0;1;
Mausoleum;0;0;0;0;0;0;0;1;0;0;
maximal;1;0;0;0;0;0;0;0;0;0;
Maxime;0;0;0;0;0;0;0;0;0;1;
Medaille;1;0;0;1;0;0;1;0;1;1;
meditieren;1;0;0;1;0;0;1;0;0;1;
medizinisch;1;0;0;1;0;1;0;0;0;1;
Medley;1;0;0;0;0;0;0;0;0;0;
Meer;1;0;0;0;0;0;0;0;0;0;
Meerenge;0;1;0;0;0;1;0;0;0;0;
Mehltau;0;1;0;0;1;0;0;0;0;0;
mehrdeutig;0;1;0;0;0;0;0;0;0;0;
Mehrheit;1;0;0;0;0;0;1;0;0;1;
meiden;0;1;1;0;1;0;0;1;0;0;
Meineid;0;1;0;0;0;1;0;0;1;0;
Meise;0;1;0;0;0;0;0;0;0;0;
Meißel;1;0;0;0;0;0;0;0;0;0;
Meister;1;0;0;0;0;0;0;0;0;0;
Meisterschaft;1;0;1;0;0;0;1;0;0;1;
Meisterstück;1;0;0;0;0;0;1;0;0;0;
Melancholie;0;1;0;0;0;0;0;1;0;0;
melancholisch;0;1;0;0;0;0;0;1;0;0;
Melodrama;0;1;1;0;0;0;0;1;0;0;
menschenleer;0;1;1;0;0;1;0;1;0;0;
Menschheit;1;0;0;0;0;0;1;0;0;1;
menschlich;1;0;0;0;0;0;0;0;0;0;
Menses;1;0;0;0;0;0;0;0;0;0;
Mentor;1;0;0;0;0;0;0;0;0;1;
Messe;1;0;0;0;0;0;0;0;0;0;
messen;0;0;0;0;0;0;0;0;0;1;
Metastasierung;0;1;0;0;0;0;0;0;0;0;
Methanol;0;1;0;0;0;0;0;0;0;0;
Metropolitan;1;0;0;0;0;0;0;0;0;0;
Metzger;0;1;1;0;1;1;0;0;0;0;
Meuterei;0;1;1;0;1;1;0;0;1;0;
mieten;1;0;0;1;0;0;1;0;0;1;
Mieter;1;0;0;0;0;0;0;0;0;0;
Mietshaus;0;1;0;0;0;0;0;0;0;0;
Mietvertrag;1;0;0;0;0;0;0;0;0;0;
Mikroskop;0;0;0;0;0;0;0;0;0;1;
Mikroskopie;1;0;0;0;0;0;0;0;0;0;
Milbe;0;1;0;0;1;0;0;0;0;0;
Militär-;0;0;0;0;0;1;0;0;0;0;
Miliz;0;1;1;0;0;1;0;1;0;0;
Milzbrand;0;1;0;0;1;1;0;1;0;0;
Mime;1;0;0;0;0;0;0;0;0;0;
Mimikry;0;1;0;0;0;0;0;0;1;0;
Minderheit;0;1;0;0;0;0;0;0;0;0;
minderwertig;0;1;0;0;0;0;0;1;0;0;
Minderwertigkeit;0;1;0;0;0;0;0;0;0;0;
minimieren;0;1;0;0;0;0;0;0;0;0;
Minimum;0;1;0;0;0;0;0;0;0;0;
Ministerium;1;0;0;0;0;0;1;0;0;1;
miserabel;0;1;0;0;0;0;0;1;0;0;
missachtet;0;1;0;0;1;0;0;0;0;0;
Missachtung;0;1;0;0;0;0;0;0;0;0;
Missbildung;0;1;0;0;0;0;0;0;0;0;
missbilligen;0;1;1;0;1;1;0;1;0;0;
missbilligend;0;1;1;0;1;0;0;1;0;0;
Missbilligung;0;1;0;0;0;0;0;1;0;0;
Missbrauch;0;1;0;0;0;0;0;0;0;0;
Missbrauch;0;1;1;0;1;1;0;1;0;0;
missfiel;0;1;1;0;0;0;0;1;0;0;
Missgeschick;0;1;0;0;1;1;0;1;1;0;
Missionar;1;0;0;0;0;0;0;0;0;0;
Misstrauen;0;1;0;0;1;1;0;0;0;0;
Misstrauen;0;1;1;0;1;1;0;0;0;0;
misstrauisch;0;0;0;0;0;0;0;0;1;0;
misstrauisch;0;0;0;0;0;1;0;0;0;0;
Missverständnis;0;1;1;0;0;0;0;1;0;0;
Missverständnis;0;1;1;0;1;1;0;0;0;0;
missverstehen;0;1;0;0;0;0;0;0;0;0;
Misswirtschaft;0;1;0;0;0;0;0;0;0;0;
Mist;0;1;0;0;1;0;0;0;0;0;
mit Kapuze;0;0;0;0;0;1;0;0;0;0;
Mitarbeiter;0;0;0;0;0;0;0;0;0;1;
mitfühlend;1;0;0;0;0;0;0;0;0;0;
Mitleid;0;0;0;0;0;0;0;1;0;0;
Mittäterschaft;1;1;0;0;0;0;0;0;0;0;
mittellos;0;1;0;0;0;1;0;1;0;0;
mittelmäßig;0;1;0;0;0;0;0;0;0;0;
Mittelmäßigkeit;0;1;0;0;0;0;0;0;0;0;
Mittelmeer;1;0;0;0;0;0;0;0;0;0;
Mitwirkende;1;0;0;0;0;0;0;0;0;1;
Mob;0;1;1;0;0;1;0;0;0;0;
Mobiltelefon;0;0;0;1;0;0;0;0;0;0;
Modell;1;0;0;0;0;0;0;0;0;0;
Moderator;1;0;0;0;0;0;0;0;0;1;
modisch;1;0;0;0;0;0;0;0;0;0;
modisch;1;0;0;0;0;0;0;0;0;0;
Möglichkeit;0;0;0;1;0;0;0;0;0;0;
Möglichkeit;1;0;0;0;0;0;0;0;0;0;
Mönch;1;0;0;0;0;0;0;0;0;1;
Monogamie;0;0;0;0;0;0;0;0;0;1;
Monopolist;0;1;0;0;0;0;0;0;0;0;
Monster;0;1;0;0;0;1;0;0;0;0;
Monsun;0;1;0;0;0;0;0;1;0;0;
Monument;1;0;0;0;0;0;0;0;0;0;
Moor;0;1;0;0;0;0;0;0;0;0;
Moral;1;0;0;0;0;0;0;0;0;1;
Moral;1;0;1;0;0;0;0;0;0;1;
Moral;1;0;1;1;1;0;1;0;1;1;
Morast;0;1;0;0;1;0;0;0;0;0;
morbid;0;1;0;0;0;0;0;1;0;0;
Morbidität;0;1;1;0;1;1;0;1;0;0;
Mord;0;1;1;0;1;1;0;1;0;0;
Mord;0;1;1;0;1;1;0;1;1;0;
Mörder;0;1;1;0;1;1;0;1;0;0;
mörderisch;0;1;1;0;0;1;0;0;0;0;
mörderisch;0;1;1;0;1;1;0;1;1;0;
Morgen;0;0;0;1;0;0;0;0;0;0;
moribund;0;1;0;0;0;0;0;1;0;0;
Mortalität;0;1;1;0;0;1;0;1;0;0;
Moschee;0;0;1;0;0;0;0;0;0;0;
Moskito;0;1;1;0;1;0;0;0;0;0;
Motiv;1;0;0;0;0;0;0;0;0;0;
Möwe;0;1;0;0;0;0;0;0;0;0;
müde;0;1;0;0;0;0;0;0;0;0;
müde;0;1;0;0;0;0;0;1;0;0;
müde;0;1;0;0;0;0;0;1;0;0;
Müdigkeit;0;1;0;0;0;0;0;0;0;0;
Müdigkeit;0;1;0;0;0;0;0;1;0;0;
Muff;0;1;1;0;1;0;0;0;0;0;
muffig;0;1;0;0;1;0;0;0;0;0;
Mühe;0;1;0;0;0;0;0;0;0;0;
Mühle;0;0;0;1;0;0;0;0;0;0;
Mühsal;0;1;0;0;0;0;0;0;0;0;
mühsam;0;1;0;0;0;0;0;0;0;0;
mühselig;0;1;0;0;0;0;0;0;0;0;
Müll;0;1;0;0;0;0;0;0;0;0;
Müll;0;1;0;0;1;0;0;0;0;0;
Müll;0;1;0;0;1;0;0;0;0;0;
Müll;0;1;0;0;1;0;0;1;0;0;
Mumps;0;1;0;0;0;0;0;0;0;0;
Mund;0;0;0;0;0;0;0;0;1;0;
munter;1;0;0;1;0;0;1;0;1;0;
murmeln;0;1;0;0;0;0;0;0;0;0;
murmeln;0;1;1;0;0;0;0;0;0;0;
murren;0;1;1;0;1;0;0;0;0;0;
mürrisch;0;1;1;0;0;0;0;0;0;0;
mürrisch;0;1;1;0;1;0;0;0;0;0;
mürrisch;0;1;1;0;0;0;0;1;0;0;
mürrisch;0;1;1;0;1;0;0;1;0;0;
Musical;1;0;1;1;0;0;1;1;1;1;
Musik;1;0;0;0;0;0;1;1;0;0;
Muskete;0;0;0;0;0;1;0;0;0;0;
muskulös;1;0;0;0;0;0;0;0;0;0;
Mut;1;0;0;0;0;0;0;0;0;0;
Mutant;0;1;0;0;0;0;0;0;0;0;
mutig;1;0;0;0;0;1;0;0;0;0;
Mutter;1;1;0;1;0;0;1;1;0;1;
mütterlich;1;1;0;1;0;0;0;0;0;0;
Mutterschaft;1;0;0;0;0;0;1;0;0;1;
mutwillig;0;1;1;0;0;0;0;1;0;0;
Mystiker;0;0;0;0;0;0;0;0;1;0;
nach außen;1;0;0;0;0;0;0;0;0;0;
nach dem Zufallsprinzip;0;0;0;0;0;0;0;0;1;0;
nach vorne;1;0;0;0;0;0;0;0;0;0;
Nachahmer;0;1;1;0;1;0;0;0;0;0;
Nachahmung;0;1;0;0;0;0;0;0;0;0;
Nachbar;1;0;0;1;0;0;0;0;0;1;
nachdenklich;0;0;0;0;0;0;0;1;0;0;
nachdenklich;1;0;0;0;0;0;0;0;0;1;
Nachdenklichkeit;1;0;0;0;0;0;0;0;0;0;
Nachforschender;1;0;0;0;0;0;0;0;0;0;
Nachfrage;0;1;1;0;0;0;0;0;0;0;
nachfüllen;1;0;0;0;0;0;0;0;0;0;
Nachgeschmack;0;1;0;0;0;0;0;0;0;0;
nachlässig;0;1;1;0;1;0;0;1;0;0;
Nachlässigkeit;0;1;1;0;1;0;0;0;0;0;
Nachruf;0;1;0;0;0;0;0;1;0;0;
Nachsicht;1;0;0;0;0;0;0;0;0;0;
nachsichtig;1;0;0;0;0;0;0;0;0;0;
Nächstenliebe;1;0;0;0;0;0;1;0;0;0;
Nachteil;0;1;0;0;0;0;0;0;0;0;
Nachteil;0;1;0;0;0;0;0;0;0;0;
nachteilig;0;1;1;0;0;0;0;0;0;0;
nachteilig;0;1;1;0;1;1;0;1;0;0;
nachtragend;0;1;1;0;0;0;0;0;0;0;
Nachtwache;0;0;0;1;0;0;0;0;0;0;
nachweisbar;1;0;0;0;0;0;0;0;0;0;
Nachwirkungen;0;1;1;0;1;1;0;1;0;0;
Nackenrolle;1;0;0;0;0;0;0;0;0;0;
Nadel;1;0;0;0;0;0;0;0;0;0;
Nähe;1;0;0;0;0;0;1;0;0;1;
Nahkampf;0;1;0;0;0;1;0;0;0;0;
nähren;1;0;1;1;1;1;1;0;0;1;
nahrhaft;1;0;0;0;0;0;0;1;0;0;
Nahrung;1;0;0;0;0;0;0;0;0;0;
Nahrung;1;0;0;0;0;0;0;0;0;0;
naiv;0;1;0;0;0;0;0;0;0;0;
namenlos;0;1;0;0;1;0;0;0;0;0;
Narbe;0;1;1;0;1;1;0;1;0;0;
Nase;0;0;0;0;1;0;0;0;0;0;
Nation;0;0;0;0;0;0;0;0;0;1;
Naturforscher;1;0;0;0;0;0;0;0;0;0;
Navigator;0;0;0;1;0;0;0;0;0;1;
Nebenfluss;1;0;0;1;0;0;0;0;0;0;
Nebengebäude;0;1;0;0;1;0;0;0;0;0;
necken;0;1;1;1;0;0;0;1;0;0;
Neckerei;0;1;1;0;0;1;0;0;0;0;
Negation;0;1;1;0;0;0;0;0;0;0;
Negativ;0;1;0;0;0;0;0;1;0;0;
Neger;0;1;0;0;0;0;0;1;0;0;
neidisch;0;1;0;0;0;0;0;0;0;0;
Neigung;0;0;0;0;0;0;0;0;0;1;
nein;0;1;0;0;0;0;0;0;0;0;
Nektar;1;0;0;0;0;0;0;0;0;0;
Nerv;1;0;0;0;0;0;0;0;0;0;
Nerven;0;1;1;0;1;0;0;0;0;0;
Nervenkitzel;1;0;0;1;0;1;1;0;1;0;
Nervensäge;0;1;1;0;0;0;0;0;0;0;
Nervenzusammenbruch;0;1;0;0;0;0;0;0;0;0;
nervig;0;1;1;0;0;0;0;0;0;0;
nervös;0;1;0;1;0;1;0;0;0;0;
Nervosität;0;0;0;0;0;1;0;0;0;0;
Nessel;0;1;1;0;1;0;0;0;0;0;
Nest;0;0;0;0;0;0;0;0;0;1;
nett;1;0;0;0;0;0;1;0;0;1;
Netzwerk;0;0;0;1;0;0;0;0;0;0;
Neuauflage;1;0;0;0;0;0;0;0;0;0;
Neufassung;1;0;0;0;0;0;0;0;0;0;
Neugierde;1;0;0;1;0;0;0;0;1;0;
neugierig;1;0;0;0;0;0;0;0;0;0;
neugierig;0;1;0;0;0;0;0;0;0;0;
neugierig sein;0;1;1;1;0;0;0;0;0;1;
Neuling;0;0;0;0;0;1;0;0;1;0;
Neuralgie;0;1;0;0;0;1;0;1;0;0;
Neurose;0;1;0;0;0;1;0;1;0;0;
neurotisch;0;1;0;0;1;1;0;0;0;0;
neutral;0;0;0;1;0;0;0;0;0;1;
Neutralität;0;0;0;0;0;0;0;0;0;1;
nicht anwendbar;0;1;0;0;0;0;0;0;0;0;
nicht autorisiert;0;1;0;0;0;0;0;0;0;0;
nicht bewusst;0;1;0;0;0;0;0;0;0;0;
nicht einverstanden;0;1;1;0;0;0;0;1;0;0;
nicht entlarvend;0;1;1;0;1;0;0;1;0;0;
nicht erlaubt;0;1;1;0;1;1;0;1;0;0;
nicht fortschrittlich;0;1;0;0;0;0;0;0;0;0;
nicht gefallen;0;1;1;0;1;0;0;0;0;0;
nicht genehmigt;0;1;0;0;0;0;0;0;0;0;
nicht infiziert;1;0;0;0;0;0;0;0;0;0;
nicht informiert;0;1;0;0;0;0;0;0;0;0;
nicht lizenziert;0;1;0;0;0;0;0;0;0;0;
nicht nachhaltig;0;1;0;0;0;0;0;0;0;0;
nicht nett;0;1;1;0;1;1;0;1;0;0;
nicht offenbart;0;0;0;1;0;0;0;0;0;0;
nicht reduzierbar;1;0;0;0;0;0;0;0;0;0;
nicht reparierbar;0;1;0;0;0;1;0;1;0;0;
nicht unterstützt;0;1;0;0;0;0;0;0;0;0;
nicht verkauft;0;1;0;1;0;0;0;0;0;0;
nicht wohl;0;1;0;0;0;0;0;1;0;0;
nicht zu fassen;0;1;0;0;0;0;0;0;0;0;
nicht zu rechtfertigen;0;1;1;0;1;1;0;0;0;0;
nicht zufrieden;0;1;0;0;1;0;0;1;0;0;
nicht zugänglich;0;1;0;0;0;0;0;0;0;0;
nicht zustimmen;0;1;1;0;0;0;0;0;0;0;
Nichteinhaltung;0;1;1;1;0;1;0;1;0;0;
Nichtgebrauch;0;1;0;0;0;0;0;0;0;0;
Nichtigkeit;0;1;0;0;0;0;0;0;0;0;
Nichts;0;1;0;0;0;0;0;1;0;0;
Nichtübereinstimmung;0;1;0;0;0;0;0;0;0;0;
Nickerchen;1;0;0;0;0;0;1;0;0;0;
Niederlage;0;1;0;0;0;0;0;0;0;0;
niedlich;1;0;0;0;0;0;0;0;0;0;
niedrig;0;1;0;0;0;0;0;0;0;0;
niedrig;0;1;0;0;0;0;0;1;0;0;
niedriger;0;1;0;0;0;0;0;1;0;0;
niedrigste;0;1;0;0;0;0;0;1;0;0;
niesen;0;1;0;0;1;0;0;0;1;0;
Nieten;1;0;0;0;0;0;0;0;0;0;
Nigger;0;1;0;0;0;0;0;0;0;0;
Nihilismus;0;1;0;0;0;0;0;0;0;0;
Nikotin;0;1;0;0;1;0;0;0;0;0;
Nischen;0;0;0;0;0;1;0;0;0;0;
Niveau;1;0;0;0;0;0;0;0;0;1;
Nominierung;1;0;0;0;0;0;0;0;0;0;
Nonne;0;1;0;0;0;0;0;0;0;1;
Normalität;1;0;0;0;0;0;0;0;0;0;
Not;0;1;0;0;0;0;0;1;0;0;
Not;0;1;1;0;1;1;0;1;1;0;
Notar;0;0;0;0;0;0;0;0;0;1;
Notfall;0;1;0;0;0;1;0;1;1;0;
notiert;1;0;0;0;0;0;0;0;0;0;
Notlage;0;1;0;1;1;1;0;1;0;0;
notwendig;0;1;0;0;0;0;0;0;0;0;
Notwendigkeit;0;0;0;0;0;0;0;1;0;0;
Nüchternheit;1;0;0;0;0;0;0;0;0;1;
null;0;1;0;0;0;0;0;0;0;0;
Nützlichkeit;1;0;0;0;0;0;0;0;0;0;
Nützlichkeit;1;0;0;0;0;0;0;0;0;0;
nutzlos;0;1;0;0;0;0;0;0;0;0;
Oase;1;0;0;0;0;0;0;0;0;1;
Oase;1;0;0;1;0;0;1;0;0;1;
ob;0;1;0;0;0;0;0;1;1;0;
obdachlos;0;1;1;1;1;1;0;1;0;0;
oben;1;0;0;1;0;0;0;0;0;1;
oben erwähnt;1;0;0;0;0;0;0;0;0;0;
oberflächlich;0;1;0;0;0;0;0;0;0;0;
Oberst;1;0;0;0;0;0;0;0;0;1;
Obi;0;1;0;0;1;1;0;0;0;0;
obstruieren;0;1;0;0;0;0;0;0;0;0;
Obstruktion;0;1;0;0;0;0;0;0;0;0;
obszön;0;1;0;0;1;0;0;0;0;0;
Obszönität;0;1;1;0;1;0;0;0;0;0;
Ofen;0;0;1;0;0;0;0;0;0;0;
offen;0;0;0;0;0;1;0;0;0;0;
offen;1;0;0;1;0;0;1;0;1;1;
offenbart;0;0;0;0;0;0;0;0;0;1;
Offenheit;1;0;0;0;0;0;0;0;0;0;
Offenheit;1;0;0;0;0;0;0;0;0;1;
offensichtlich;1;0;0;0;0;0;0;0;0;1;
offensichtlich;1;0;0;0;0;0;0;0;0;1;
Öffentlichkeit;1;0;0;1;0;0;0;0;0;0;
offiziell;0;0;0;0;0;0;0;0;0;1;
Offizier;1;0;0;0;0;0;0;0;0;1;
Offset;1;0;0;1;0;0;0;0;0;0;
Oger;0;1;0;0;1;1;0;0;0;0;
ohne;0;1;0;0;0;0;0;1;0;0;
ohne Titel;0;1;0;0;0;0;0;1;0;0;
Ohnmacht;0;1;0;0;0;1;0;1;1;0;
Okkulte;0;1;0;0;1;1;0;0;0;0;
olfaktorisch;0;1;0;1;0;0;0;0;0;0;
Oligarchie;0;1;0;0;0;0;0;0;0;0;
Oma;1;0;0;0;0;0;0;0;0;0;
Omen;0;1;0;1;0;1;0;0;0;0;
ominös;0;1;0;1;0;1;0;0;0;0;
Oper;1;0;1;1;0;1;1;1;1;1;
Opern;0;1;0;0;0;0;0;0;0;0;
Opfer;0;1;0;0;1;1;0;1;0;0;
Opfer;0;1;1;0;0;1;0;1;0;0;
Opiate;0;1;0;0;0;0;0;0;0;0;
Opium;0;1;1;0;1;1;0;1;0;0;
opportun;1;0;0;0;0;0;1;0;0;0;
Opposition;0;1;1;0;0;0;0;0;0;0;
Optimismus;1;0;0;1;0;0;1;0;1;1;
Optimist;1;0;0;0;0;0;0;0;0;1;
Orakel;1;0;0;1;0;0;0;0;0;1;
Orchester;1;0;1;0;0;0;1;1;0;1;
ordentlich;1;0;0;0;0;0;0;0;0;0;
ordentlich;1;0;0;0;0;0;0;0;0;0;
Ordination;1;0;0;1;0;0;1;0;0;1;
ordiniert;1;0;0;0;0;0;0;0;0;1;
Organ;0;0;0;1;0;0;1;0;0;0;
Organisation;1;0;0;1;0;0;1;0;1;1;
organisch;1;0;0;0;0;0;0;0;0;0;
organisieren;1;0;0;0;0;0;0;0;0;0;
organisiert;1;0;0;0;0;0;0;0;0;0;
Orgasmus;1;0;0;1;0;0;1;0;0;0;
Original-;1;0;0;0;0;0;0;0;0;1;
Originalität;1;0;0;0;0;0;0;0;1;0;
originell;1;0;0;0;0;0;0;0;0;0;
Orthodoxie;0;0;0;0;0;0;0;0;0;1;
Ouvertüre;0;0;0;1;0;0;0;0;0;0;
Ovation;0;1;0;0;0;0;0;1;0;0;
Oxidation;0;1;0;0;0;0;0;0;0;0;
Pad;1;0;0;0;0;0;0;0;0;0;
Paddel;1;0;0;1;0;0;0;0;0;0;
Pakt;0;0;0;0;0;0;0;0;0;1;
palliativ;1;0;0;0;0;0;0;0;0;0;
Pandemie;0;1;0;0;0;1;0;1;0;0;
panier;1;0;0;0;0;0;0;0;0;0;
Panik;0;1;0;0;0;1;0;0;0;0;
Papagei;0;1;0;0;1;0;0;0;0;0;
Paprika;1;0;0;0;0;0;0;0;0;0;
Papst;0;0;0;0;0;0;0;0;0;1;
Papst;1;0;0;0;0;0;0;0;0;0;
Parade;1;1;0;1;0;1;1;0;1;0;
paradiesisch;1;0;0;1;0;0;1;0;0;1;
paragon;1;0;0;1;0;0;1;0;0;1;
Paranoia;0;1;0;0;0;1;0;0;0;0;
Paraphrase;1;1;0;0;0;0;0;0;0;0;
Parasit;0;1;0;0;1;1;0;0;0;0;
Pardon;1;0;0;0;0;0;0;0;0;0;
parietal;1;0;0;0;0;0;0;0;0;1;
Parlament;0;0;0;0;0;0;0;0;0;1;
Parole;0;0;0;1;0;0;0;0;0;0;
Partisan;0;1;0;0;0;0;0;0;0;0;
Partner;1;0;0;0;0;0;0;0;0;0;
Partnerschaft;1;0;0;0;0;0;0;0;0;1;
Passagier;0;0;0;1;0;0;0;0;0;0;
passend zu;1;0;0;1;0;0;1;0;0;1;
passiv;0;1;0;0;0;0;0;0;0;0;
Passivität;0;1;0;0;0;0;0;0;0;0;
passt;0;1;1;0;0;0;0;0;0;0;
Pastor;1;0;0;0;0;0;1;0;0;1;
Patch;0;1;0;0;0;0;0;0;0;0;
Patent;1;0;0;0;0;0;0;0;0;0;
Patriarchalisch;1;0;0;0;0;0;0;0;0;1;
Patron;1;0;0;0;0;0;0;0;0;1;
Patrone;0;0;0;0;0;1;0;0;0;0;
patrouillieren;0;0;0;0;0;0;0;0;0;1;
Patt;0;0;1;0;1;0;0;0;0;0;
Pauper;0;1;0;0;0;0;0;1;0;0;
Pause;0;0;0;1;0;0;0;0;0;0;
Pavian;0;1;0;0;1;0;0;0;0;0;
Pazifik;1;0;0;0;0;0;0;0;0;0;
Pein;0;1;1;0;0;1;0;1;0;0;
peinlich;0;1;0;0;0;0;0;0;0;0;
Peitsche;0;1;1;0;0;0;0;0;0;0;
Peitsche;0;1;1;0;0;1;0;0;0;0;
pendeln;1;0;0;0;0;0;0;0;0;0;
Penetration;0;1;1;0;0;1;0;0;0;0;
Pensionierung;1;1;0;1;0;1;1;1;0;1;
perfekt;1;0;0;1;0;0;1;0;0;1;
Perfektion;1;0;0;1;0;0;1;0;1;1;
peri;0;0;0;0;0;0;0;0;1;0;
Periodizität;0;0;0;0;0;0;0;0;0;1;
persistent;1;0;0;0;0;0;0;0;0;0;
persönlich;0;0;0;0;0;0;0;0;0;1;
pervers;0;1;1;0;1;0;0;0;0;0;
pervers;0;1;1;0;1;1;0;0;0;0;
Perversion;0;1;1;0;1;0;0;1;0;0;
pervertiert;0;1;0;0;1;0;0;0;0;0;
Pessimismus;0;1;1;0;0;1;0;1;0;0;
Pessimist;0;1;0;0;0;1;0;1;0;0;
Pest;0;1;0;0;1;1;0;0;0;0;
Pest;0;1;0;0;1;1;0;1;0;0;
Pest;0;1;1;0;1;1;0;0;0;0;
Petroleum;1;1;0;0;1;0;0;0;0;0;
Pfähle;0;1;0;0;1;0;0;0;0;0;
Pfand;0;1;0;0;0;0;0;0;0;1;
Pfarrer;1;0;0;0;0;0;0;0;0;1;
Pfau;1;0;0;0;0;0;0;0;0;0;
Pfeil;0;0;0;0;0;1;0;0;0;0;
Pferd;0;0;0;0;0;0;0;0;0;1;
Pflaster;0;0;0;0;0;0;0;0;0;1;
Pflaume;1;0;0;0;0;0;0;0;0;0;
pflegen;1;0;0;1;0;0;0;0;0;1;
pflichtbewusst;1;0;0;1;0;0;0;0;0;1;
Pfund;0;1;1;0;0;0;0;0;0;0;
Phalanx;0;0;0;0;0;1;0;0;0;1;
